Original,Normalized
ABBOTT LABORATORIES EMPLOYEE POLITICAL ACTION COMMITTEE (FED PAC ID #: C00040279),ABBOTT LABORATORIES
ABBOTT LABORATORIES EMPLOYEE POLITICAL ACTION COMMITTEE (FED PAC ID #C00040279),ABBOTT LABORATORIES
ABBOTT LABORATORIES EMPLOYEE POLITICAL ACTION COMMITTEE (FED PAC ID#: C00040279),ABBOTT LABORATORIES
ABBOTT LABORATORIES EMPLOYEE POLITICAL ACTION COMMITTEE (FED PAC ID#: C00042079),ABBOTT LABORATORIES
ABOTT LABORATORIES EMPLOYEE POLITICAL ACTION COMMITTEE (FED PAC ID#: C00040279),ABBOTT LABORATORIES
ABBVIE FEDERAL PAC,ABBVIE FEDERAL
ABBVIE PAC (FEC ID# C00536573),ABBVIE FEDERAL
ABBVIE PAC (FED PAC ID #C00536573),ABBVIE FEDERAL
ABBVIE PAC (FED PAC ID C00536573),ABBVIE FEDERAL
ABBVIE POLITICAL ACTION COMMITTEE,ABBVIE FEDERAL
ABBVIE POLITICAL ACTION COMMITTEE (FED PAC ID C00536573),ABBVIE FEDERAL
ABBVIE POLITICAL ACTION COMMITTEE (FED PAC ID# C00536573),ABBVIE FEDERAL
"ABBVIE, FEDERAL PAC",ABBVIE FEDERAL
"ACADIA HEALTHCARE COMPANY, INC. FEDERAL PAC",ACADIA HEALTHCARE COMPANY
ACE AMERICAN INSURANCE CO,ACE AMERICAN INSURANCE CO
ACE AMERICAN INSURANCE CO.,ACE AMERICAN INSURANCE CO
CALIFORNIA AMERICAN COUNCIL OF ENGINEERING COMPANIES PAC (ACEC PAC),ACEC - AMERICAN COUNCIL OF ENGINEERING COMPANIES CALIFORNIA
ACLU OF NORTHERN CALIFORNIA ELECTION ISSUES COMMITTEE,ACLU OF NOTHERN CALIFORNIA
ACLU OF NORTHERN CALIFORNIA ISSUES COMMITTEE,ACLU OF NOTHERN CALIFORNIA
ADAM D. DOMBCHIK,ADAM D DOMBCHIK
ADAM DOMBCHIK,ADAM D DOMBCHIK
"ANDRADE STADLER, ADELE",ADELE ANDRADE-STADLER
ADMINISTRATIVE SERVICES COOPERATIVE INC,ADMINISTRATIVE SERVICES COOPERATIVE
ADMINISTRATIVE SERVICES COOPERATIVE INC,ADMINISTRATIVE SERVICES COOPERATIVE
"ADMINISTRATIVE SERVICES COOPERATIVE, INC",ADMINISTRATIVE SERVICES COOPERATIVE
"ADMINISTRATIVE SERVICES COOPERATIVE, INC.",ADMINISTRATIVE SERVICES COOPERATIVE
"ADMINISTRATIVE SERVICES COOPERATIVE,INC.",ADMINISTRATIVE SERVICES COOPERATIVE
ADT LLC,ADT
"ADT, LLC",ADT
ADVANCED NETWORK INC. (ANI),ADVANCED NETWORK
"ADVANCED NETWORK, INC.",ADVANCED NETWORK
AERA ENERGY LLC EMPLOYEE PAC,AERA ENERGY EMPLOYEE
AERA ENERGY LLC EMPLOYEE PAC (AERA EMPLOYEE PAC),AERA ENERGY EMPLOYEE
"AERA ENERGY, LLC EMPLOYEE PAC",AERA ENERGY EMPLOYEE
"AERA ENERGY, LLC EMPLOYEE PAC (AERA EMPLOYEE PAC)",AERA ENERGY EMPLOYEE
AFFIRMED HOUSING GROUP,AFFIRMED HOUSING
AFFIRMED HOUSING GROUP INC.,AFFIRMED HOUSING
AGNES LEE,AGNES LEE
AGNES S LEE,AGNES LEE
AGRICULTURAL COUNCIL OF CALIFORNIA,AGRICULTURAL COUNCIL OF CALIFORNIA
AGRICULTURAL COUNCIL OF CALIFORNIA PAC,AGRICULTURAL COUNCIL OF CALIFORNIA
AGUA CALIENTE BAND OF CAHUILLA INDIANS,AGUA CALIENTE BAND OF CAHUILLA INDIANS
AGUA CALIENTE BAND OF CAHUILLIA INDIANS,AGUA CALIENTE BAND OF CAHUILLA INDIANS
M. AHMANISE SANATI,AHMANISE SANATI
AIQING CHEN,AIQING CHEN
HAIQING CHEN,AIQING CHEN
AIRBNB INC,AIRBNB
AIRBNB INC.,AIRBNB
"AIRBNB, INC.",AIRBNB
AKIN  GUMP  STRAUSS  HAUER & FELD  L.L.P.,AKIN GUMP STRAUSS HAUER & FELD
"AKIN, GUMP, STRAUSS, HAUER & FELD, LLP",AKIN GUMP STRAUSS HAUER & FELD
AL MALAIKAH AUDITORIUM CO,AL MALAIKAH AUDITORIUM COMPANY
AL MALAIKAH AUDITORIUM COMPANY,AL MALAIKAH AUDITORIUM COMPANY
ALAMEDA FIRE FIGHTERS ASSOCIATION,ALAMEDA FIREFIGHTERS ASSOCIATION
ALAMEDA FIREFIGHTERS ASSOCIATION,ALAMEDA FIREFIGHTERS ASSOCIATION
ALAMEDA HEALTH SYSTEM - ST. ROSE HOSPITAL,ALAMEDA HEALTH SYSTEM / ST ROSE HOSPITAL
HAYWARD SISTERS HOSPITAL D/B/A/ST. ROSE HOSPITAL,ALAMEDA HEALTH SYSTEM / ST ROSE HOSPITAL
ALAMEDA LABOR COUNCIL AFL-CIO SOLIDARITY PAC,ALAMEDA LABOR COUNCIL AFL-CIO
ALAMEDA LABOR COUNCIL AFL-CIO SOLIDARITY PAC SMALL CONTRIBUTOR COMMITTEE,ALAMEDA LABOR COUNCIL AFL-CIO
"ALAMEDA LABOR COUNCIL, AFL-CIO SOLIDARITY PAC",ALAMEDA LABOR COUNCIL AFL-CIO
ALBERT WANG,ALBERT WANG
ALBERT WONG,ALBERT WANG
ALDO PINESCHI CONSULTING INC.,ALDO PINESCHI CONSULTING
"ALDO PINESCHI CONSULTING, INC.",ALDO PINESCHI CONSULTING
ALEXANDER (SANDY) L. DEAN JR.,ALEXANDER (SANDY) L DEAN JR
"ALEXANDER (SANDY) L. DEAN, JR.",ALEXANDER (SANDY) L DEAN JR
ALEXANDER L JR. DEAN,ALEXANDER L JR DEAN
ALEXANDER L. DEAN JR.,ALEXANDER L JR DEAN
"ALEXANDER L. DEAN, JR.",ALEXANDER L JR DEAN
ALICE PIPKIN ALLEN,ALICE PIPKIN ALLEN
ALYCE PIPKIN-ALLEN,ALICE PIPKIN ALLEN
ALKERMES INC,ALKERMES
"ALKERMES, INC.",ALKERMES
ALL PRO BAIL BONDS INC.,ALL-PRO BAIL BONDS
ALL-PRO BAIL BONDS INC.,ALL-PRO BAIL BONDS
ALL-PRO BAIL BONDS INC.,ALL-PRO BAIL BONDS
"ALL-PRO BAIL BONDS, INC.",ALL-PRO BAIL BONDS
N. ALLEN SAWYER,ALLEN N SAWYER
ELLEN WILLIAMS,ALLEN WILLIAMS
HELEN WILLIAMS,ALLEN WILLIAMS
"ALPHA IN BAY, INC.",ALPHA IN BAY
"ALPHA IN BAY, LLC",ALPHA IN BAY
ALTAIR LAW PC,ALTAIR LAW
"ALTAIR LAW, PC",ALTAIR LAW
ALTAMED ACTION FUND STATE PAC,ALTAMED HEALTH SERVICES CORP
ALTICOR INC,ALTICOR
ALTICOR INC.,ALTICOR
"ALTICOR, INC.",ALTICOR
ALVIN CHEUNG,ALVIN CHEUNG
ALVIN H. CHEUNG,ALVIN CHEUNG
AMALGAMATED TRANSIT UNION 1277,AMALGAMATED TRANSIT UNION LOCAL 1277
AMALGAMATED TRANSIT UNION 1277 PAC SMALL CONTRIBUTOR COMMITTEE,AMALGAMATED TRANSIT UNION LOCAL 1277
AMALGAMATED TRANSIT UNION LOCAL 1277,AMALGAMATED TRANSIT UNION LOCAL 1277
AMALGAMATED TRANSIT UNION LOCAL 1277 PAC,AMALGAMATED TRANSIT UNION LOCAL 1277
AMALGAMATED TRANSIT UNION LOCAL 1277 PAC SMALL CONTRIBUTOR COMMITTEE,AMALGAMATED TRANSIT UNION LOCAL 1277
AMALGAMETED TRANSIT UNION LOCAL 1277 PAC,AMALGAMATED TRANSIT UNION LOCAL 1277
AMALGAMATED TRANSIT UNION (ATU) LOCAL 1555 (INTERMEDIARY FOR UNITEMIZED MEMBER CONTRIBUTIONS),AMALGAMATED TRANSIT UNION LOCAL 1555
AMALGAMATED TRANSIT UNION LOCAL 1555,AMALGAMATED TRANSIT UNION LOCAL 1555
AMALGAMATED TRANSIT UNION LOCAL 1555 - GENERAL FUND,AMALGAMATED TRANSIT UNION LOCAL 1555
"AMAZON. COM SERVICES, LLC",AMAZON
AMAZON.COM SERVICES,AMAZON
AMAZON.COM SERVICES LLC,AMAZON
AMAZON.COM SERVICES LLC,AMAZON
AMAZON.COM SERVICES LLC (ANTHONY WILLIAMS),AMAZON
AMAZON.COM SERVICES LLC (ROBERT SALTAFORMAGGIO),AMAZON
AMAZON.COM SERVICES LLC(ANDREA FAVA),AMAZON
AMAZON.COM SERVICES LLC(ANDREA FAVA),AMAZON
AMAZON.COM SERVICES LLC(ANDY JASSY),AMAZON
AMAZON.COM SERVICES LLC(FAVA ANDREA),AMAZON
AMAZON.COM SERVICES LLC(ROBERT SALTAFORMAGGIO),AMAZON
"AMAZON.COM SERVICES, LLC",AMAZON
"AMAZON.COM SERVICES, LLC (ANDREA FAVA)",AMAZON
"AMAZON.COM SERVICES, LLC(ANDREA FARA)",AMAZON
"AMAZON.COM SERVICES, LLC(ANDREA FAVA)",AMAZON
AMERICA'S PHYSICIAN GROUPS CALIFORNIA PAC,AMERICA'S PHYSICIAN GROUPS
AMERICAN ADVANCED MANAGEMENT INC.,AMERICAN ADVANCED MANAGEMENT
"AMERICAN ADVANCED MANAGEMENT, INC.",AMERICAN ADVANCED MANAGEMENT
AMERICAN AIRLINES INC POLITICAL ACTION COMMITTEE (AAPAC) (FED. PAC ID # C00107300),AMERICAN AIRLINES
AMERICAN AIRLINES INC POLITICAL ACTION COMMITTEE (AAPAC) (FED. PAC ID # C00107300),AMERICAN AIRLINES
AMERICAN AIRLINES INC. POLITICAL ACTION COMMITTEE ('AAPAC') (FED PAC ID# C00107300),AMERICAN AIRLINES
AMERICAN AIRLINES INC. POLITICAL ACTION COMMITTEE (AAPAC) (FED PAC ID #C00107300),AMERICAN AIRLINES
AMERICAN AIRLINES INC. POLITICAL ACTION COMMITTEE (AAPAC)(FED. PAC ID# C00107300),AMERICAN AIRLINES
AMERICAN AIRLINES POLITICAL ACTION COMMITTEE,AMERICAN AIRLINES
AACMA PAC,AMERICAN ASSOCIATION OF CHINESE MEDICINE & ACUPUNCTURE
AACMA- PAC,AMERICAN ASSOCIATION OF CHINESE MEDICINE & ACUPUNCTURE
AMERICAN ASSOCIATION OF CHINESE MEDICINE AND ACUPUNCTURE PAC (AACMA) SMALL CONTRIBUTOR COMMITTEE,AMERICAN ASSOCIATION OF CHINESE MEDICINE & ACUPUNCTURE
AMERICAN ASSOCIATION OF CHINESE MEDICINE AND ACUPUNCTURE PAC SMALL CONTRIBUTOR COMMITTEE (AACMA PAC),AMERICAN ASSOCIATION OF CHINESE MEDICINE & ACUPUNCTURE
AMERICAN BEVERAGE ASSOCIATION CALIFORNIA PAC,AMERICAN BEVERAGE ASSOCIATION OF CALIFORNIA
AMERICAN BEVERAGE ASSOCIATION CALIFORNIA PAC (NON-PROFIT 501 (C)(6)),AMERICAN BEVERAGE ASSOCIATION OF CALIFORNIA
AMERICAN BEVERAGE ASSOCIATION CALIFORNIA PAC (NON-PROFIT 501(C)(6)),AMERICAN BEVERAGE ASSOCIATION OF CALIFORNIA
AMERICAN BEVERAGE ASSOCIATION OF CALIFORNIA PAC (NON-PROFIT 201 (C) (6)),AMERICAN BEVERAGE ASSOCIATION OF CALIFORNIA
AMERICAN BEVERAGE ASSOCIATION PAC,AMERICAN BEVERAGE ASSOCIATION OF CALIFORNIA
"AMERICAN CANCER SOCIETY CANCER ACTION NETWORK, INC.",AMERICAN CANCER SOCIETY
ACEC PAC - AMERICAN COUNCIL OF ENGINEERING COMPANIES CALIFORNIA PAC,AMERICAN COUNCIL OF ENGINEERING COMPANIES
AMERICAN COUNCIL OF ENGINEERING COMPANIES (ACEC) CALIFORNIA PAC,AMERICAN COUNCIL OF ENGINEERING COMPANIES
AMERICAN COUNCIL OF ENGINEERING COMPANIES (ACEC) PAC,AMERICAN COUNCIL OF ENGINEERING COMPANIES
AMERICAN COUNCIL OF ENGINEERING COMPANIES CA (ACEC),AMERICAN COUNCIL OF ENGINEERING COMPANIES
AMERICAN COUNCIL OF ENGINEERING COMPANIES CALIFORNIA (ACEC) PAC,AMERICAN COUNCIL OF ENGINEERING COMPANIES
AMERICAN COUNCIL OF ENGINEERING COMPANIES CALIFORNIA PAC,AMERICAN COUNCIL OF ENGINEERING COMPANIES
AMERICAN COUNCIL OF ENGINEERING COMPANIES OF CA,AMERICAN COUNCIL OF ENGINEERING COMPANIES
AMERICAN COUNCIL OF ENGINEERING COMPANIES OF CALIFORNIA (ACEC) PAC,AMERICAN COUNCIL OF ENGINEERING COMPANIES
AMERICAN COUNCIL OF ENGINEERING COMPANIES OF CALIFORNIA PAC (ACEC),AMERICAN COUNCIL OF ENGINEERING COMPANIES
AMERICAN COUNCIL OF ENGINEERING COMPANIES PAC (ACEC),AMERICAN COUNCIL OF ENGINEERING COMPANIES
"AMERICAN COUNCIL OF ENGINEERING COMPANIES, CALIFORNIA PAC",AMERICAN COUNCIL OF ENGINEERING COMPANIES
CALIFORNIA AMERICAN COUNCIL OF ENGINEERING COMPANIES PAC,AMERICAN COUNCIL OF ENGINEERING COMPANIES CALIFORNIA
CA AMERICAN COUNCIL OF ENGINEERING COMPANIES,AMERICAN COUNCIL OF ENGINEERING COMPANIES OF CA
CA AMERICAN COUNCIL OF ENGINEERING COMPANIES- ACEC,AMERICAN COUNCIL OF ENGINEERING COMPANIES OF CA
AMERICAN FAMILY MUTUAL INSURANCE COMPANY S.I. FEDERAL (AMFAM PAC),AMERICAN FAMILY MUTUAL INSURANCE COMPANY
AMERICAN FAMILY MUTUAL INSURANCE COMPANY S.I. FEDERAL PAC,AMERICAN FAMILY MUTUAL INSURANCE COMPANY
"AMERICAN FAMILY MUTUAL INSURANCE COMPANY, S.I. FEDERAL  PAC (AMFAM PAC) (FED PAC ID C00354290)",AMERICAN FAMILY MUTUAL INSURANCE COMPANY
"AMERICAN FAMILY MUTUAL INSURANCE COMPANY, S.I. FEDERAL PAC",AMERICAN FAMILY MUTUAL INSURANCE COMPANY
"AMERICAN FAMILY MUTUAL INSURANCE COMPANY, S.I. FEDERAL PAC (AMFAM PAC)",AMERICAN FAMILY MUTUAL INSURANCE COMPANY
"AMERICAN FAMILY MUTUAL INSURANCE COMPANY, S.I. FEDERAL PAC (AMFAM PAC) (FED PAC ID C00354290)",AMERICAN FAMILY MUTUAL INSURANCE COMPANY
AMERICAN FEDERATION OF STATE COUNTY & MUNICIPAL EMPLOYEE - CA PEOPLE,"AMERICAN FEDERATION OF STATE, COUNTY & MUNICIPAL EMPLOYEES"
"AMERICAN FEDERATION OF STATE, COUNTY & MUNICIPAL EMPLOYEE - CA PEOPLE","AMERICAN FEDERATION OF STATE, COUNTY & MUNICIPAL EMPLOYEES"
"AMERICAN FEDERATION OF STATE, COUNTY & MUNICIPAL EMPLOYEES","AMERICAN FEDERATION OF STATE, COUNTY & MUNICIPAL EMPLOYEES"
"AMERICAN FEDERATION OF STATE, COUNTY & MUNICIPAL EMPLOYEES - CA PEOPLE","AMERICAN FEDERATION OF STATE, COUNTY & MUNICIPAL EMPLOYEES"
"AMERICAN FEDERATION OF STATE, COUNTY & MUNICIPAL EMPLOYEES - CA PEOPLE","AMERICAN FEDERATION OF STATE, COUNTY & MUNICIPAL EMPLOYEES"
"AMERICAN FEDERATION OF STATE, COUNTY & MUNICIPAL EMPLOYEES - CA PEOPLE (AFSCME CA PEOPLE) SMALL CONTRIBUTOR COMMITTEE","AMERICAN FEDERATION OF STATE, COUNTY & MUNICIPAL EMPLOYEES"
"AMERICAN FEDERATION OF STATE, COUNTY & MUNICIPAL EMPLOYEES - CA PEOPLE (AFSCME CA PEOPLE) SMALL CONTRIBUTOR COMMITTEE","AMERICAN FEDERATION OF STATE, COUNTY & MUNICIPAL EMPLOYEES"
"AMERICAN FEDERATION OF STATE, COUNTY & MUNICIPAL EMPLOYEES - CA PEOPLE (AFSCME CA PEOPLE) SMALL CONTRIBUTOR COMMITTEE","AMERICAN FEDERATION OF STATE, COUNTY & MUNICIPAL EMPLOYEES"
"AMERICAN FEDERATION OF STATE, COUNTY & MUNICIPAL EMPLOYEES - CA PEOPLE SMALL CONTRIBUTOR COMMITTE","AMERICAN FEDERATION OF STATE, COUNTY & MUNICIPAL EMPLOYEES"
"AMERICAN FEDERATION OF STATE, COUNTY & MUNICIPAL EMPLOYEES - CA PEOPLE SMALL CONTRIBUTOR COMMITTEE","AMERICAN FEDERATION OF STATE, COUNTY & MUNICIPAL EMPLOYEES"
"AMERICAN FEDERATION OF STATE, COUNTY & MUNICIPAL EMPLOYEES - CA PEOPLE SMALL CONTRIBUTOR COMMITTEE","AMERICAN FEDERATION OF STATE, COUNTY & MUNICIPAL EMPLOYEES"
"AMERICAN FEDERATION OF STATE, COUNTY & MUNICIPAL EMPLOYEES - CALIFORNIA PEOPLE PAC SMALL CONTRIBUTOR COMMITTEE","AMERICAN FEDERATION OF STATE, COUNTY & MUNICIPAL EMPLOYEES"
"AMERICAN FEDERATION OF STATE, COUNTY & MUNICIPAL EMPLOYEES CA PEOPLE","AMERICAN FEDERATION OF STATE, COUNTY & MUNICIPAL EMPLOYEES"
"AMERICAN FEDERATION OF STATE, COUNTY & MUNICIPAL EMPLOYEES- CA PEOPLE","AMERICAN FEDERATION OF STATE, COUNTY & MUNICIPAL EMPLOYEES"
"AMERICAN FEDERATION OF STATE, COUNTY & MUNICIPAL EMPLOYEES- CA PEOPLE (AFSCME CA PEOPLE) SMALL CONTRIBUTOR COMMITTEE","AMERICAN FEDERATION OF STATE, COUNTY & MUNICIPAL EMPLOYEES"
"AMERICAN FEDERATION OF STATE, COUNTY & MUNICIPAL EMPLOYEES- CA PEOPLE SMALL CONTRIBUTOR COMMITTEE","AMERICAN FEDERATION OF STATE, COUNTY & MUNICIPAL EMPLOYEES"
"AMERICAN FEDERATION OF STATE, COUNTY & MUNICIPAL EMPLOYEES-CA PEOPLE","AMERICAN FEDERATION OF STATE, COUNTY & MUNICIPAL EMPLOYEES"
"AMERICAN FEDERATION OF STATE, COUNTY & MUNICIPAL EMPLOYEES-CA PEOPLE (AFSCME CA PEOPLE) SMALL CONTRIBUTOR COMMITTEE","AMERICAN FEDERATION OF STATE, COUNTY & MUNICIPAL EMPLOYEES"
"AMERICAN FEDERATION OF STATE, COUNTY AND MUNICIPAL EMPLOYEES  - CA PEOPLE","AMERICAN FEDERATION OF STATE, COUNTY & MUNICIPAL EMPLOYEES"
"AMERICAN FEDERATION OF STATE, COUNTY AND MUNICIPAL EMPLOYEES - CA PEOPLE","AMERICAN FEDERATION OF STATE, COUNTY & MUNICIPAL EMPLOYEES"
"AMERICAN FEDERATION OF STATE, COUNTY, & MUNICIPAL EMPLOYEES - CA PEOPLE (AFSCME CA PEOPLE) SMALL CONTRIBUTOR COMMITTEE","AMERICAN FEDERATION OF STATE, COUNTY & MUNICIPAL EMPLOYEES"
AMERICAN FEDERATION OF STATE AND COUNTY MUNICIPAL EMPLOYEES WORKING FAMILIES FUND,"AMERICAN FEDERATION OF STATE, COUNTY & MUNICIPAL EMPLOYEES AFL-CIO"
"AMERICAN FEDERATION OF STATE COUNTY & MUNICIPAL EMPLOYEES, AFL-CIO","AMERICAN FEDERATION OF STATE, COUNTY & MUNICIPAL EMPLOYEES AFL-CIO"
"AMERICAN FEDERATION OF STATE, COUNTY AND MUNICIPAL EMPLOYEES (AFSCME), AFL-CIO","AMERICAN FEDERATION OF STATE, COUNTY & MUNICIPAL EMPLOYEES AFL-CIO"
"AMERICAN FEDERATION OF STATE, COUNTY AND MUNICIPAL EMPLOYEES, AFL  CIO (MPO)","AMERICAN FEDERATION OF STATE, COUNTY & MUNICIPAL EMPLOYEES AFL-CIO"
"AMERICAN FEDERATION OF STATE, COUNTY AND MUNICIPAL EMPLOYEES, AFL-CIO","AMERICAN FEDERATION OF STATE, COUNTY & MUNICIPAL EMPLOYEES AFL-CIO"
"AMERICAN FEDERATION OF STATE, COUNTY AND MUNICIPAL EMPLOYEES, AFL-CIO (AFSCME)","AMERICAN FEDERATION OF STATE, COUNTY & MUNICIPAL EMPLOYEES AFL-CIO"
"AMERICAN FEDERATION OF STATE, COUNTY AND MUNICIPAL EMPLOYEES, AFL-CIO (MPO)","AMERICAN FEDERATION OF STATE, COUNTY & MUNICIPAL EMPLOYEES AFL-CIO"
"AMERICAN FEDERATION OF STATE, COUNTY AND MUNICIPAL EMPLOYEES, AFL-CIO (MPO) SMALL CONTRIBUTOR COMMITTEE","AMERICAN FEDERATION OF STATE, COUNTY & MUNICIPAL EMPLOYEES AFL-CIO"
AFSCME LOCAL 2428 (INTERMEDIARY FOR UNITEMIZED MEMBER DUES),"AMERICAN FEDERATION OF STATE, COUNTY & MUNICIPAL EMPLOYEES COUNCIL 2428"
"AMERICAN FEDERATION OF STATE, COUNTY & MUNICIPAL EMPLOYEES (AFSCME) LOCAL 2428 (INTERMEDIARY FOR UNITEMIZED MEMBER CONTR.)","AMERICAN FEDERATION OF STATE, COUNTY & MUNICIPAL EMPLOYEES COUNCIL 2428"
AFSCME COUNCIL 57,"AMERICAN FEDERATION OF STATE, COUNTY & MUNICIPAL EMPLOYEES COUNCIL 57"
AFSCME COUNCIL 57 (INTERMEDIARY FOR UNITEMIZED UNION MEMBER CONTRIBUTIONS),"AMERICAN FEDERATION OF STATE, COUNTY & MUNICIPAL EMPLOYEES COUNCIL 57"
AFSCME DISTRICT COUNCIL 57 PAC,"AMERICAN FEDERATION OF STATE, COUNTY & MUNICIPAL EMPLOYEES COUNCIL 57"
AMERICAN FEDERATION OF STATE COUNTY & MUNICIPAL EMPLOYEES COUNCIL 57,"AMERICAN FEDERATION OF STATE, COUNTY & MUNICIPAL EMPLOYEES COUNCIL 57"
AMERICAN FEDERATION OF STATE COUNTY COUNTY & MUNICIPAL EMPLOYEES-COUNCIL 57 PAC,"AMERICAN FEDERATION OF STATE, COUNTY & MUNICIPAL EMPLOYEES COUNCIL 57"
"AMERICAN FEDERATION OF STATE, COUNTY & MUNICIPAL EMPLOYEES - COUNCIL 57 PAC","AMERICAN FEDERATION OF STATE, COUNTY & MUNICIPAL EMPLOYEES COUNCIL 57"
"AMERICAN FEDERATION OF STATE, COUNTY & MUNICIPAL EMPLOYEES - COUNCIL 57 PAC","AMERICAN FEDERATION OF STATE, COUNTY & MUNICIPAL EMPLOYEES COUNCIL 57"
"AMERICAN FEDERATION OF STATE, COUNTY & MUNICIPAL EMPLOYEES COUNCIL 57 PAC","AMERICAN FEDERATION OF STATE, COUNTY & MUNICIPAL EMPLOYEES COUNCIL 57"
"AMERICAN FEDERATION OF STATE, COUNTY & MUNICIPAL EMPLOYEES-COUNCIL 57 PAC","AMERICAN FEDERATION OF STATE, COUNTY & MUNICIPAL EMPLOYEES COUNCIL 57"
"AMERICAN FEDERATION OF STATE, COUNTY, MUNICIPAL EMPLOYEES-COUNCIL 57 PAC","AMERICAN FEDERATION OF STATE, COUNTY & MUNICIPAL EMPLOYEES COUNCIL 57"
AFSCME 1902 PAC - CALIFORNIANS FOR CLEAN AND RELIABLE WATER,"AMERICAN FEDERATION OF STATE, COUNTY & MUNICIPAL EMPLOYEES LOCAL 1902"
AFSCME 1902 PAC - CALIFORNIANS FOR CLEAN AND RELIABLE WATER,"AMERICAN FEDERATION OF STATE, COUNTY & MUNICIPAL EMPLOYEES LOCAL 1902"
AFSCME 1902 PAC CALIFORNIANS FOR CLEAN AND RELIABLE WATER,"AMERICAN FEDERATION OF STATE, COUNTY & MUNICIPAL EMPLOYEES LOCAL 1902"
AFSCME 1902 PAC-CALIFORNIANS FOR CLEAN AND RELIABLE WATER,"AMERICAN FEDERATION OF STATE, COUNTY & MUNICIPAL EMPLOYEES LOCAL 1902"
"AMERICAN FEDERATION OF STATE, COUNTY & MUNICIPAL EMPLOYEES (AFSCME) LOCAL 1902 PAC - CALIFORNIANS FOR CLEAN & RELIABLE WATER","AMERICAN FEDERATION OF STATE, COUNTY & MUNICIPAL EMPLOYEES LOCAL 1902"
"AMERICAN FEDERATION OF STATE, COUNTY, & MUNICIPAL EMPLOYEES (AFSCME) LOCAL 1902 PAC - CALIFORNIANS FOR CLEAN & RELIABLE WATER","AMERICAN FEDERATION OF STATE, COUNTY & MUNICIPAL EMPLOYEES LOCAL 1902"
AFSCME LOCAL 2620,"AMERICAN FEDERATION OF STATE, COUNTY & MUNICIPAL EMPLOYEES LOCAL 2620"
AFSCME LOCAL 2620 (INTERMEDIARY FOR UNITEMIZED MEMBER DUES),"AMERICAN FEDERATION OF STATE, COUNTY & MUNICIPAL EMPLOYEES LOCAL 2620"
"AMERICAN FEDERATION OF STATE, COUNTY AND MUNICIPAL EMPLOYEES (AFSCME) LOCAL 2620 PAC","AMERICAN FEDERATION OF STATE, COUNTY & MUNICIPAL EMPLOYEES LOCAL 2620"
"AMERICAN FEDERATION OF STATE, COUNTY AND MUNICIPAL EMPLOYEES (AFSCME) LOCAL 2620 PAC","AMERICAN FEDERATION OF STATE, COUNTY & MUNICIPAL EMPLOYEES LOCAL 2620"
"AMERICAN FEDERATION OF STATE, COUNTY AND MUNICIPAL EMPLOYEES (AFSCME), LOCAL 2620 PAC","AMERICAN FEDERATION OF STATE, COUNTY & MUNICIPAL EMPLOYEES LOCAL 2620"
"AMERICAN FEDERATION OF STATE, COUNTY AND MUNICIPAL EMPLOYEES, LOCAL 2620 PAC","AMERICAN FEDERATION OF STATE, COUNTY & MUNICIPAL EMPLOYEES LOCAL 2620"
